date,end_date,product_code,product_color,product_model,product_type,quantity
2024-01-05,2024-01-12,840,,,100cm,2.0
2024-01-05,2024-01-12,860,ardahan gri,iki göbek,100cm,102.0
2024-01-05,2024-01-12,920,pvc gri,baklava,100cm,37.0
2024-01-05,2024-01-12,930,pvc gri,karışık çizgi,100cm,7.0
2024-01-05,2024-01-12,960,pvc gri,iki göbek,100cm,1.0
2024-01-19,2024-01-26,110,italyan ceviz,madra,100cm,97.0
2024-01-19,2024-01-26,120,italyan ceviz,baklava,100cm,14.0
2024-01-19,2024-01-26,130,italyan ceviz,karışık çizgi,100cm,16.0
2024-01-19,2024-01-26,160,italyan ceviz,iki göbek,100cm,86.0
2024-01-19,2024-01-26,220,koyu ceviz,baklava,100cm,5.0
2024-01-19,2024-01-26,230,koyu ceviz,karışık çizgi,100cm,21.0
2024-01-19,2024-01-26,240,,,100cm,4.0
2024-01-19,2024-01-26,260,koyu ceviz,iki göbek,100cm,48.0
2024-01-19,2024-01-26,310,gold ceviz,madra,100cm,12.0
2024-01-19,2024-01-26,320,gold ceviz,baklava,100cm,10.0
2024-01-19,2024-01-26,330,gold ceviz,karışık çizgi,100cm,11.0
2024-01-19,2024-01-26,340,,,100cm,15.0
2024-01-19,2024-01-26,360,gold ceviz,iki göbek,100cm,25.0
2024-01-19,2024-01-26,410,ABD ceviz,madra,100cm,1.0
2024-01-19,2024-01-26,420,ABD ceviz,baklava,100cm,30.0
2024-01-19,2024-01-26,430,ABD ceviz,karışık çizgi,100cm,10.0
2024-01-19,2024-01-26,460,ABD ceviz,iki göbek,100cm,38.0
2024-01-19,2024-01-26,520,wenge,baklava,100cm,11.0
2024-01-19,2024-01-26,530,wenge,karışık çizgi,100cm,4.0
2024-01-19,2024-01-26,560,wenge,iki göbek,100cm,17.0
2024-01-19,2024-01-26,610,bute beyaz,madra,100cm,17.0
2024-01-19,2024-01-26,620,bute beyaz,baklava,100cm,19.0
2024-01-19,2024-01-26,630,bute beyaz,karışık çizgi,100cm,79.0
2024-01-19,2024-01-26,640,,,100cm,8.0
2024-01-19,2024-01-26,660,bute beyaz,iki göbek,100cm,354.0
2024-01-19,2024-01-26,720,küp akça,baklava,100cm,26.0
2024-01-19,2024-01-26,730,küp akça,karışık çizgi,100cm,58.0
2024-01-19,2024-01-26,740,,,100cm,8.0
2024-01-19,2024-01-26,760,küp akça,iki göbek,100cm,116.0
2024-01-19,2024-01-26,810,ardahan gri,madra,100cm,38.0
2024-01-19,2024-01-26,830,ardahan gri,karışık çizgi,100cm,86.0
2024-01-19,2024-01-26,840,,,100cm,4.0
2024-01-19,2024-01-26,860,ardahan gri,iki göbek,100cm,142.0
2024-01-19,2024-01-26,920,pvc gri,baklava,100cm,30.0
2024-01-19,2024-01-26,930,pvc gri,karışık çizgi,100cm,66.0
2024-01-26,2024-02-02,110,italyan ceviz,madra,100cm,44.0
2024-01-26,2024-02-02,130,italyan ceviz,karışık çizgi,100cm,6.0
2024-01-26,2024-02-02,140,,,100cm,5.0
2024-01-26,2024-02-02,220,koyu ceviz,baklava,100cm,6.0
2024-01-26,2024-02-02,260,koyu ceviz,iki göbek,100cm,31.0
2024-01-26,2024-02-02,310,gold ceviz,madra,100cm,3.0
2024-01-26,2024-02-02,320,gold ceviz,baklava,100cm,4.0
2024-01-26,2024-02-02,360,gold ceviz,iki göbek,100cm,21.0
2024-01-26,2024-02-02,460,ABD ceviz,iki göbek,100cm,12.0
2024-01-26,2024-02-02,530,wenge,karışık çizgi,100cm,16.0
2024-01-26,2024-02-02,610,bute beyaz,madra,100cm,4.0
2024-01-26,2024-02-02,620,bute beyaz,baklava,100cm,2.0
2024-01-26,2024-02-02,630,bute beyaz,karışık çizgi,100cm,46.0
2024-01-26,2024-02-02,660,bute beyaz,iki göbek,100cm,58.0
2024-01-26,2024-02-02,720,küp akça,baklava,100cm,3.0
2024-01-26,2024-02-02,730,küp akça,karışık çizgi,100cm,49.0
2024-01-26,2024-02-02,760,küp akça,iki göbek,100cm,3.0
2024-01-26,2024-02-02,810,ardahan gri,madra,100cm,15.0
2024-01-26,2024-02-02,830,ardahan gri,karışık çizgi,100cm,23.0
2024-01-26,2024-02-02,860,ardahan gri,iki göbek,100cm,2.0
2024-01-26,2024-02-02,930,pvc gri,karışık çizgi,100cm,17.0
2024-02-02,2024-02-09,110,italyan ceviz,madra,100cm,16.0
2024-02-02,2024-02-09,130,italyan ceviz,karışık çizgi,100cm,26.0
2024-02-02,2024-02-09,140,,,100cm,1.0
2024-02-02,2024-02-09,220,koyu ceviz,baklava,100cm,9.0
2024-02-02,2024-02-09,240,,,100cm,3.0
2024-02-02,2024-02-09,260,koyu ceviz,iki göbek,100cm,6.0
2024-02-02,2024-02-09,360,gold ceviz,iki göbek,100cm,8.0
2024-02-02,2024-02-09,430,ABD ceviz,karışık çizgi,100cm,6.0
2024-02-02,2024-02-09,440,,,100cm,3.0
2024-02-02,2024-02-09,460,ABD ceviz,iki göbek,100cm,4.0
2024-02-02,2024-02-09,530,wenge,karışık çizgi,100cm,3.0
2024-02-02,2024-02-09,560,wenge,iki göbek,100cm,7.0
2024-02-02,2024-02-09,610,bute beyaz,madra,100cm,2.0
2024-02-02,2024-02-09,620,bute beyaz,baklava,100cm,3.0
2024-02-02,2024-02-09,630,bute beyaz,karışık çizgi,100cm,19.0
2024-02-02,2024-02-09,660,bute beyaz,iki göbek,100cm,85.0
2024-02-02,2024-02-09,720,küp akça,baklava,100cm,7.0
2024-02-02,2024-02-09,730,küp akça,karışık çizgi,100cm,67.0
2024-02-02,2024-02-09,740,,,100cm,10.0
2024-02-02,2024-02-09,810,ardahan gri,madra,100cm,6.0
2024-02-02,2024-02-09,830,ardahan gri,karışık çizgi,100cm,37.0
2024-02-02,2024-02-09,840,,,100cm,9.0
2024-02-02,2024-02-09,860,ardahan gri,iki göbek,100cm,1.0
2024-02-02,2024-02-09,930,pvc gri,karışık çizgi,100cm,5.0
2024-02-02,2024-02-09,960,pvc gri,iki göbek,100cm,23.0
2024-02-09,2024-02-16,110,italyan ceviz,madra,100cm,3.0
2024-02-09,2024-02-16,130,italyan ceviz,karışık çizgi,100cm,29.0
2024-02-09,2024-02-16,240,,,100cm,5.0
2024-02-09,2024-02-16,260,koyu ceviz,iki göbek,100cm,19.0
2024-02-09,2024-02-16,310,gold ceviz,madra,100cm,6.0
2024-02-09,2024-02-16,320,gold ceviz,baklava,100cm,17.0
2024-02-09,2024-02-16,330,gold ceviz,karışık çizgi,100cm,6.0
2024-02-09,2024-02-16,360,gold ceviz,iki göbek,100cm,19.0
2024-02-09,2024-02-16,410,ABD ceviz,madra,100cm,12.0
2024-02-09,2024-02-16,430,ABD ceviz,karışık çizgi,100cm,8.0
2024-02-09,2024-02-16,460,ABD ceviz,iki göbek,100cm,5.0
2024-02-09,2024-02-16,560,wenge,iki göbek,100cm,9.0
2024-02-09,2024-02-16,610,bute beyaz,madra,100cm,15.0
2024-02-09,2024-02-16,620,bute beyaz,baklava,100cm,4.0
2024-02-09,2024-02-16,630,bute beyaz,karışık çizgi,100cm,45.0
2024-02-09,2024-02-16,660,bute beyaz,iki göbek,100cm,141.0
2024-02-09,2024-02-16,720,küp akça,baklava,100cm,16.0
2024-02-09,2024-02-16,730,küp akça,karışık çizgi,100cm,33.0
2024-02-09,2024-02-16,810,ardahan gri,madra,100cm,8.0
2024-02-09,2024-02-16,960,pvc gri,iki göbek,100cm,51.0
2024-02-16,2024-02-23,120,italyan ceviz,baklava,100cm,1.0
2024-02-16,2024-02-23,130,italyan ceviz,karışık çizgi,100cm,11.0
2024-02-16,2024-02-23,140,,,100cm,2.0
2024-02-16,2024-02-23,160,italyan ceviz,iki göbek,100cm,10.0
2024-02-16,2024-02-23,220,koyu ceviz,baklava,100cm,3.0
2024-02-16,2024-02-23,240,,,100cm,4.0
2024-02-16,2024-02-23,260,koyu ceviz,iki göbek,100cm,6.0
2024-02-16,2024-02-23,310,gold ceviz,madra,100cm,1.0
2024-02-16,2024-02-23,360,gold ceviz,iki göbek,100cm,14.0
2024-02-16,2024-02-23,460,ABD ceviz,iki göbek,100cm,83.0
2024-02-16,2024-02-23,520,wenge,baklava,100cm,9.0
2024-02-16,2024-02-23,530,wenge,karışık çizgi,100cm,5.0
2024-02-16,2024-02-23,540,,,100cm,1.0
2024-02-16,2024-02-23,560,wenge,iki göbek,100cm,4.0
2024-02-16,2024-02-23,610,bute beyaz,madra,100cm,5.0
2024-02-16,2024-02-23,620,bute beyaz,baklava,100cm,4.0
2024-02-16,2024-02-23,630,bute beyaz,karışık çizgi,100cm,8.0
2024-02-16,2024-02-23,660,bute beyaz,iki göbek,100cm,69.0
2024-02-16,2024-02-23,720,küp akça,baklava,100cm,4.0
2024-02-16,2024-02-23,730,küp akça,karışık çizgi,100cm,24.0
2024-02-16,2024-02-23,760,küp akça,iki göbek,100cm,57.0
2024-02-16,2024-02-23,820,ardahan gri,baklava,100cm,4.0
2024-02-16,2024-02-23,830,ardahan gri,karışık çizgi,100cm,7.0
2024-02-16,2024-02-23,860,ardahan gri,iki göbek,100cm,47.0
2024-02-16,2024-02-23,960,pvc gri,iki göbek,100cm,23.0
2024-02-23,2024-03-01,110,italyan ceviz,madra,100cm,1.0
2024-02-23,2024-03-01,120,italyan ceviz,baklava,100cm,4.0
2024-02-23,2024-03-01,160,italyan ceviz,iki göbek,100cm,14.0
2024-02-23,2024-03-01,230,koyu ceviz,karışık çizgi,100cm,1.0
2024-02-23,2024-03-01,260,koyu ceviz,iki göbek,100cm,4.0
2024-02-23,2024-03-01,360,gold ceviz,iki göbek,100cm,3.0
2024-02-23,2024-03-01,430,ABD ceviz,karışık çizgi,100cm,41.0
2024-02-23,2024-03-01,530,wenge,karışık çizgi,100cm,2.0
2024-02-23,2024-03-01,560,wenge,iki göbek,100cm,5.0
2024-02-23,2024-03-01,610,bute beyaz,madra,100cm,2.0
2024-02-23,2024-03-01,630,bute beyaz,karışık çizgi,100cm,3.0
2024-02-23,2024-03-01,660,bute beyaz,iki göbek,100cm,23.0
2024-02-23,2024-03-01,720,küp akça,baklava,100cm,4.0
2024-02-23,2024-03-01,730,küp akça,karışık çizgi,100cm,5.0
2024-02-23,2024-03-01,760,küp akça,iki göbek,100cm,40.0
2024-02-23,2024-03-01,820,ardahan gri,baklava,100cm,5.0
2024-02-23,2024-03-01,830,ardahan gri,karışık çizgi,100cm,5.0
2024-02-23,2024-03-01,860,ardahan gri,iki göbek,100cm,79.0
2024-02-23,2024-03-01,960,pvc gri,iki göbek,100cm,6.0
2024-03-01,2024-03-08,110,italyan ceviz,madra,100cm,2.0
2024-03-01,2024-03-08,130,italyan ceviz,karışık çizgi,100cm,3.0
2024-03-01,2024-03-08,160,italyan ceviz,iki göbek,100cm,3.0
2024-03-01,2024-03-08,260,koyu ceviz,iki göbek,100cm,2.0
2024-03-01,2024-03-08,330,gold ceviz,karışık çizgi,100cm,3.0
2024-03-01,2024-03-08,360,gold ceviz,iki göbek,100cm,6.0
2024-03-01,2024-03-08,410,ABD ceviz,madra,100cm,1.0
2024-03-01,2024-03-08,460,ABD ceviz,iki göbek,100cm,4.0
2024-03-01,2024-03-08,610,bute beyaz,madra,100cm,1.0
2024-03-01,2024-03-08,630,bute beyaz,karışık çizgi,100cm,16.0
2024-03-01,2024-03-08,660,bute beyaz,iki göbek,100cm,21.0
2024-03-01,2024-03-08,760,küp akça,iki göbek,100cm,6.0
2024-03-01,2024-03-08,810,ardahan gri,madra,100cm,3.0
2024-03-01,2024-03-08,820,ardahan gri,baklava,100cm,7.0
2024-03-01,2024-03-08,830,ardahan gri,karışık çizgi,100cm,2.0
2024-03-01,2024-03-08,860,ardahan gri,iki göbek,100cm,9.0
2024-03-08,2024-03-15,130,italyan ceviz,karışık çizgi,100cm,15.0
2024-03-08,2024-03-15,160,italyan ceviz,iki göbek,100cm,30.0
2024-03-08,2024-03-15,240,,,100cm,2.0
2024-03-08,2024-03-15,260,koyu ceviz,iki göbek,100cm,12.0
2024-03-08,2024-03-15,320,gold ceviz,baklava,100cm,1.0
2024-03-08,2024-03-15,420,ABD ceviz,baklava,100cm,2.0
2024-03-08,2024-03-15,560,wenge,iki göbek,100cm,3.0
2024-03-08,2024-03-15,630,bute beyaz,karışık çizgi,100cm,17.0
2024-03-08,2024-03-15,640,,,100cm,5.0
2024-03-08,2024-03-15,660,bute beyaz,iki göbek,100cm,12.0
2024-03-08,2024-03-15,730,küp akça,karışık çizgi,100cm,18.0
2024-03-08,2024-03-15,760,küp akça,iki göbek,100cm,17.0
2024-03-08,2024-03-15,810,ardahan gri,madra,100cm,5.0
2024-03-08,2024-03-15,820,ardahan gri,baklava,100cm,4.0
2024-03-08,2024-03-15,830,ardahan gri,karışık çizgi,100cm,12.0
2024-03-08,2024-03-15,860,ardahan gri,iki göbek,100cm,35.0
2024-03-08,2024-03-15,960,pvc gri,iki göbek,100cm,12.0
2024-03-15,2024-03-22,110,italyan ceviz,madra,100cm,1.0
2024-03-15,2024-03-22,120,italyan ceviz,baklava,100cm,4.0
2024-03-15,2024-03-22,130,italyan ceviz,karışık çizgi,100cm,11.0
2024-03-15,2024-03-22,160,italyan ceviz,iki göbek,100cm,13.0
2024-03-15,2024-03-22,460,ABD ceviz,iki göbek,100cm,4.0
2024-03-15,2024-03-22,530,wenge,karışık çizgi,100cm,6.0
2024-03-15,2024-03-22,610,bute beyaz,madra,100cm,5.0
2024-03-15,2024-03-22,620,bute beyaz,baklava,100cm,3.0
2024-03-15,2024-03-22,630,bute beyaz,karışık çizgi,100cm,20.0
2024-03-15,2024-03-22,660,bute beyaz,iki göbek,100cm,13.0
2024-03-15,2024-03-22,730,küp akça,karışık çizgi,100cm,25.0
2024-03-15,2024-03-22,760,küp akça,iki göbek,100cm,30.0
2024-03-15,2024-03-22,830,ardahan gri,karışık çizgi,100cm,9.0
2024-03-15,2024-03-22,860,ardahan gri,iki göbek,100cm,49.0
2024-03-15,2024-03-22,960,pvc gri,iki göbek,100cm,11.0
2024-03-22,2024-03-29,110,italyan ceviz,madra,100cm,10.0
2024-03-22,2024-03-29,130,italyan ceviz,karışık çizgi,100cm,6.0
2024-03-22,2024-03-29,160,italyan ceviz,iki göbek,100cm,6.0
2024-03-22,2024-03-29,310,gold ceviz,madra,100cm,28.0
2024-03-22,2024-03-29,560,wenge,iki göbek,100cm,2.0
2024-03-22,2024-03-29,610,bute beyaz,madra,100cm,10.0
2024-03-22,2024-03-29,630,bute beyaz,karışık çizgi,100cm,11.0
2024-03-22,2024-03-29,660,bute beyaz,iki göbek,100cm,23.0
2024-03-22,2024-03-29,730,küp akça,karışık çizgi,100cm,24.0
2024-03-22,2024-03-29,760,küp akça,iki göbek,100cm,25.0
2024-03-22,2024-03-29,810,ardahan gri,madra,100cm,4.0
2024-03-22,2024-03-29,820,ardahan gri,baklava,100cm,3.0
2024-03-22,2024-03-29,830,ardahan gri,karışık çizgi,100cm,10.0
2024-03-22,2024-03-29,860,ardahan gri,iki göbek,100cm,71.0
2024-03-22,2024-03-29,930,pvc gri,karışık çizgi,100cm,3.0
2024-03-22,2024-03-29,960,pvc gri,iki göbek,100cm,8.0
2024-03-29,2024-04-05,110,italyan ceviz,madra,100cm,4.0
2024-03-29,2024-04-05,120,italyan ceviz,baklava,100cm,3.0
2024-03-29,2024-04-05,130,italyan ceviz,karışık çizgi,100cm,7.0
2024-03-29,2024-04-05,160,italyan ceviz,iki göbek,100cm,37.0
2024-03-29,2024-04-05,220,koyu ceviz,baklava,100cm,3.0
2024-03-29,2024-04-05,260,koyu ceviz,iki göbek,100cm,1.0
2024-03-29,2024-04-05,360,gold ceviz,iki göbek,100cm,6.0
2024-03-29,2024-04-05,420,ABD ceviz,baklava,100cm,1.0
2024-03-29,2024-04-05,560,wenge,iki göbek,100cm,4.0
2024-03-29,2024-04-05,610,bute beyaz,madra,100cm,13.0
2024-03-29,2024-04-05,630,bute beyaz,karışık çizgi,100cm,16.0
2024-03-29,2024-04-05,660,bute beyaz,iki göbek,100cm,23.0
2024-03-29,2024-04-05,720,küp akça,baklava,100cm,3.0
2024-03-29,2024-04-05,730,küp akça,karışık çizgi,100cm,10.0
2024-03-29,2024-04-05,760,küp akça,iki göbek,100cm,42.0
2024-03-29,2024-04-05,820,ardahan gri,baklava,100cm,4.0
2024-03-29,2024-04-05,830,ardahan gri,karışık çizgi,100cm,6.0
2024-03-29,2024-04-05,860,ardahan gri,iki göbek,100cm,43.0
2024-03-29,2024-04-05,930,pvc gri,karışık çizgi,100cm,6.0
2024-03-29,2024-04-05,960,pvc gri,iki göbek,100cm,15.0
2024-04-12,2024-04-19,110,italyan ceviz,madra,100cm,25.0
2024-04-12,2024-04-19,130,italyan ceviz,karışık çizgi,100cm,19.0
2024-04-12,2024-04-19,160,italyan ceviz,iki göbek,100cm,13.0
2024-04-12,2024-04-19,230,koyu ceviz,karışık çizgi,100cm,1.0
2024-04-12,2024-04-19,240,,,100cm,4.0
2024-04-12,2024-04-19,260,koyu ceviz,iki göbek,100cm,16.0
2024-04-12,2024-04-19,330,gold ceviz,karışık çizgi,100cm,1.0
2024-04-12,2024-04-19,360,gold ceviz,iki göbek,100cm,5.0
2024-04-12,2024-04-19,420,ABD ceviz,baklava,100cm,1.0
2024-04-12,2024-04-19,430,ABD ceviz,karışık çizgi,100cm,1.0
2024-04-12,2024-04-19,460,ABD ceviz,iki göbek,100cm,3.0
2024-04-12,2024-04-19,530,wenge,karışık çizgi,100cm,4.0
2024-04-12,2024-04-19,610,bute beyaz,madra,100cm,20.0
2024-04-12,2024-04-19,620,bute beyaz,baklava,100cm,6.0
2024-04-12,2024-04-19,630,bute beyaz,karışık çizgi,100cm,14.0
2024-04-12,2024-04-19,640,,,100cm,1.0
2024-04-12,2024-04-19,660,bute beyaz,iki göbek,100cm,16.0
2024-04-12,2024-04-19,720,küp akça,baklava,100cm,3.0
2024-04-12,2024-04-19,730,küp akça,karışık çizgi,100cm,25.0
2024-04-12,2024-04-19,740,,,100cm,2.0
2024-04-12,2024-04-19,760,küp akça,iki göbek,100cm,13.0
2024-04-12,2024-04-19,830,ardahan gri,karışık çizgi,100cm,7.0
2024-04-12,2024-04-19,860,ardahan gri,iki göbek,100cm,50.0
2024-04-12,2024-04-19,930,pvc gri,karışık çizgi,100cm,12.0
2024-04-12,2024-04-19,960,pvc gri,iki göbek,100cm,12.0
2024-04-19,2024-04-26,110,italyan ceviz,madra,100cm,6.0
2024-04-19,2024-04-26,120,italyan ceviz,baklava,100cm,5.0
2024-04-19,2024-04-26,130,italyan ceviz,karışık çizgi,100cm,22.0
2024-04-19,2024-04-26,160,italyan ceviz,iki göbek,100cm,3.0
2024-04-19,2024-04-26,260,koyu ceviz,iki göbek,100cm,10.0
2024-04-19,2024-04-26,310,gold ceviz,madra,100cm,1.0
2024-04-19,2024-04-26,320,gold ceviz,baklava,100cm,1.0
2024-04-19,2024-04-26,420,ABD ceviz,baklava,100cm,5.0
2024-04-19,2024-04-26,430,ABD ceviz,karışık çizgi,100cm,6.0
2024-04-19,2024-04-26,560,wenge,iki göbek,100cm,1.0
2024-04-19,2024-04-26,610,bute beyaz,madra,100cm,3.0
2024-04-19,2024-04-26,620,bute beyaz,baklava,100cm,12.0
2024-04-19,2024-04-26,630,bute beyaz,karışık çizgi,100cm,8.0
2024-04-19,2024-04-26,660,bute beyaz,iki göbek,100cm,44.0
2024-04-19,2024-04-26,730,küp akça,karışık çizgi,100cm,42.0
2024-04-19,2024-04-26,760,küp akça,iki göbek,100cm,44.0
2024-04-19,2024-04-26,810,ardahan gri,madra,100cm,5.0
2024-04-19,2024-04-26,820,ardahan gri,baklava,100cm,1.0
2024-04-19,2024-04-26,830,ardahan gri,karışık çizgi,100cm,12.0
2024-04-19,2024-04-26,840,,,100cm,5.0
2024-04-19,2024-04-26,860,ardahan gri,iki göbek,100cm,54.0
2024-04-19,2024-04-26,920,pvc gri,baklava,100cm,1.0
2024-04-19,2024-04-26,930,pvc gri,karışık çizgi,100cm,39.0
2024-04-19,2024-04-26,960,pvc gri,iki göbek,100cm,24.0
2024-04-26,2024-05-03,110,italyan ceviz,madra,100cm,8.0
2024-04-26,2024-05-03,120,italyan ceviz,baklava,100cm,4.0
2024-04-26,2024-05-03,130,italyan ceviz,karışık çizgi,100cm,4.0
2024-04-26,2024-05-03,140,,,100cm,3.0
2024-04-26,2024-05-03,160,italyan ceviz,iki göbek,100cm,15.0
2024-04-26,2024-05-03,220,koyu ceviz,baklava,100cm,4.0
2024-04-26,2024-05-03,230,koyu ceviz,karışık çizgi,100cm,3.0
2024-04-26,2024-05-03,260,koyu ceviz,iki göbek,100cm,8.0
2024-04-26,2024-05-03,320,gold ceviz,baklava,100cm,1.0
2024-04-26,2024-05-03,330,gold ceviz,karışık çizgi,100cm,1.0
2024-04-26,2024-05-03,360,gold ceviz,iki göbek,100cm,1.0
2024-04-26,2024-05-03,420,ABD ceviz,baklava,100cm,2.0
2024-04-26,2024-05-03,430,ABD ceviz,karışık çizgi,100cm,2.0
2024-04-26,2024-05-03,460,ABD ceviz,iki göbek,100cm,1.0
2024-04-26,2024-05-03,520,wenge,baklava,100cm,1.0
2024-04-26,2024-05-03,530,wenge,karışık çizgi,100cm,31.0
2024-04-26,2024-05-03,560,wenge,iki göbek,100cm,6.0
2024-04-26,2024-05-03,610,bute beyaz,madra,100cm,24.0
2024-04-26,2024-05-03,620,bute beyaz,baklava,100cm,1.0
2024-04-26,2024-05-03,630,bute beyaz,karışık çizgi,100cm,21.0
2024-04-26,2024-05-03,660,bute beyaz,iki göbek,100cm,45.0
2024-04-26,2024-05-03,720,küp akça,baklava,100cm,1.0
2024-04-26,2024-05-03,730,küp akça,karışık çizgi,100cm,12.0
2024-04-26,2024-05-03,760,küp akça,iki göbek,100cm,31.0
2024-04-26,2024-05-03,810,ardahan gri,madra,100cm,5.0
2024-04-26,2024-05-03,820,ardahan gri,baklava,100cm,10.0
2024-04-26,2024-05-03,830,ardahan gri,karışık çizgi,100cm,13.0
2024-04-26,2024-05-03,860,ardahan gri,iki göbek,100cm,59.0
2024-04-26,2024-05-03,930,pvc gri,karışık çizgi,100cm,2.0
2024-04-26,2024-05-03,960,pvc gri,iki göbek,100cm,7.0
2024-05-03,2024-05-10,110,italyan ceviz,madra,100cm,1.0
2024-05-03,2024-05-10,120,italyan ceviz,baklava,100cm,14.0
2024-05-03,2024-05-10,130,italyan ceviz,karışık çizgi,100cm,8.0
2024-05-03,2024-05-10,160,italyan ceviz,iki göbek,100cm,29.0
2024-05-03,2024-05-10,240,,,100cm,3.0
2024-05-03,2024-05-10,260,koyu ceviz,iki göbek,100cm,37.0
2024-05-03,2024-05-10,330,gold ceviz,karışık çizgi,100cm,3.0
2024-05-03,2024-05-10,360,gold ceviz,iki göbek,100cm,1.0
2024-05-03,2024-05-10,420,ABD ceviz,baklava,100cm,1.0
2024-05-03,2024-05-10,460,ABD ceviz,iki göbek,100cm,5.0
2024-05-03,2024-05-10,520,wenge,baklava,100cm,2.0
2024-05-03,2024-05-10,560,wenge,iki göbek,100cm,3.0
2024-05-03,2024-05-10,620,bute beyaz,baklava,100cm,7.0
2024-05-03,2024-05-10,630,bute beyaz,karışık çizgi,100cm,10.0
2024-05-03,2024-05-10,660,bute beyaz,iki göbek,100cm,81.0
2024-05-03,2024-05-10,730,küp akça,karışık çizgi,100cm,6.0
2024-05-03,2024-05-10,760,küp akça,iki göbek,100cm,16.0
2024-05-03,2024-05-10,820,ardahan gri,baklava,100cm,10.0
2024-05-03,2024-05-10,830,ardahan gri,karışık çizgi,100cm,43.0
2024-05-03,2024-05-10,860,ardahan gri,iki göbek,100cm,14.0
2024-05-03,2024-05-10,920,pvc gri,baklava,100cm,1.0
2024-05-03,2024-05-10,930,pvc gri,karışık çizgi,100cm,8.0
